#Coverage (X)	Coverage
1.0	98.43337334933973
2.0	98.031212484994
3.0	97.22088835534214
4.0	95.48619447779112
5.0	92.51500600240097
6.0	88.031212484994
7.0	81.78271308523409
8.0	73.57743097238895
9.0	63.90756302521008
10.0	53.90756302521008
11.0	43.73349339735894
12.0	33.937575030012
13.0	25.150060024009605
14.0	18.247298919567825
15.0	12.773109243697476
16.0	8.427370948379348
17.0	5.3661464585834295
18.0	3.679471788715489
19.0	2.430972388955581
20.0	1.5726290516206518
21.0	0.9663865546218489
22.0	0.4981992797118835
23.0	0.34813925570227866
24.0	0.15006002400960483
25.0	0.07202881152461771
26.0	0.04801920768308321
27.0	0.02400960384154871
28.0	1.4210854715202004E-14
29.0	1.4210854715202004E-14
30.0	1.4210854715202004E-14
31.0	1.4210854715202004E-14
32.0	1.4210854715202004E-14
33.0	1.4210854715202004E-14
34.0	1.4210854715202004E-14
35.0	1.4210854715202004E-14
36.0	1.4210854715202004E-14
37.0	1.4210854715202004E-14
38.0	1.4210854715202004E-14
39.0	1.4210854715202004E-14
40.0	1.4210854715202004E-14
41.0	1.4210854715202004E-14
42.0	1.4210854715202004E-14
43.0	1.4210854715202004E-14
44.0	1.4210854715202004E-14
45.0	1.4210854715202004E-14
46.0	1.4210854715202004E-14
47.0	1.4210854715202004E-14
48.0	1.4210854715202004E-14
49.0	1.4210854715202004E-14
50.0	1.4210854715202004E-14
51.0	1.4210854715202004E-14
