#Coverage (X)	Coverage
1.0	98.22929171668667
2.0	97.32292917166866
3.0	95.37214885954381
4.0	90.31812725090036
5.0	81.90276110444178
6.0	71.85474189675871
7.0	59.81992797118848
8.0	48.02521008403362
9.0	36.560624249699885
10.0	26.28451380552221
11.0	17.617046818727488
12.0	11.86074429771908
13.0	7.761104441776709
14.0	5.288115246098442
15.0	3.289315726290525
16.0	2.1308523409363858
17.0	1.356542617046827
18.0	0.7442977190876405
19.0	0.4081632653061291
20.0	0.16206482593037208
21.0	0.06602641056421987
22.0	0.03601440576230175
23.0	0.01200480192076725
24.0	0.0
25.0	0.0
26.0	0.0
27.0	0.0
28.0	0.0
29.0	0.0
30.0	0.0
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
