#Coverage (X)	Coverage
1.0	98.08523409363745
2.0	96.92076830732293
3.0	94.45378151260505
4.0	90.09003601440577
5.0	82.47298919567827
6.0	72.68907563025209
7.0	60.82232893157263
8.0	48.57142857142857
9.0	37.26890756302521
10.0	26.81272509003601
11.0	18.067226890756302
12.0	11.77671068427371
13.0	7.617046818727488
14.0	4.849939975990395
15.0	3.349339735894361
16.0	2.1488595438175366
17.0	1.3325330132052926
18.0	0.8223289315726419
19.0	0.5162064825930486
20.0	0.22809123649460616
21.0	0.10804321728691946
22.0	0.054021608643466834
23.0	1.4210854715202004E-14
24.0	1.4210854715202004E-14
25.0	1.4210854715202004E-14
26.0	1.4210854715202004E-14
27.0	1.4210854715202004E-14
28.0	1.4210854715202004E-14
29.0	1.4210854715202004E-14
30.0	1.4210854715202004E-14
31.0	1.4210854715202004E-14
32.0	1.4210854715202004E-14
33.0	1.4210854715202004E-14
34.0	1.4210854715202004E-14
35.0	1.4210854715202004E-14
36.0	1.4210854715202004E-14
37.0	1.4210854715202004E-14
38.0	1.4210854715202004E-14
39.0	1.4210854715202004E-14
40.0	1.4210854715202004E-14
41.0	1.4210854715202004E-14
42.0	1.4210854715202004E-14
43.0	1.4210854715202004E-14
44.0	1.4210854715202004E-14
45.0	1.4210854715202004E-14
46.0	1.4210854715202004E-14
47.0	1.4210854715202004E-14
48.0	1.4210854715202004E-14
49.0	1.4210854715202004E-14
50.0	1.4210854715202004E-14
51.0	1.4210854715202004E-14
