#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.002564102564102564
18.0	0.002564102564102564
19.0	0.002564102564102564
20.0	0.002564102564102564
21.0	0.002564102564102564
22.0	0.002564102564102564
23.0	0.007692307692307693
24.0	0.002564102564102564
25.0	0.020512820512820513
26.0	0.010256410256410256
27.0	0.010256410256410256
28.0	0.002564102564102564
29.0	0.01282051282051282
30.0	0.020512820512820513
31.0	0.03333333333333333
32.0	0.030769230769230774
33.0	0.02820512820512821
34.0	0.05128205128205129
35.0	0.05384615384615385
36.0	0.0641025641025641
37.0	0.05128205128205129
38.0	0.06666666666666667
39.0	0.0641025641025641
40.0	0.035897435897435895
41.0	0.0794871794871795
42.0	0.09487179487179487
43.0	0.028205128205128202
44.0	0.0358974358974359
45.0	0.030769230769230767
46.0	0.028205128205128206
47.0	0.023076923076923078
48.0	0.020512820512820513
49.0	0.017948717948717947
50.0	0.007692307692307693
51.0	0.005128205128205128
52.0	0.01282051282051282
53.0	0.01282051282051282
54.0	0.0
55.0	0.005128205128205128
56.0	0.005128205128205128
57.0	0.0
58.0	0.005128205128205128
59.0	0.0
60.0	0.0
61.0	0.005128205128205128
62.0	0.0
63.0	0.0
64.0	0.0
65.0	0.0
66.0	0.0
67.0	0.0
68.0	0.0
69.0	0.0
70.0	0.0
71.0	0.0
72.0	0.0
73.0	0.0
74.0	0.0
75.0	0.0
76.0	0.0
77.0	0.0
78.0	0.0
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
