#Coverage (X)	Coverage
1.0	98.47539015606243
2.0	98.00120048019208
3.0	97.28091236494598
4.0	95.82833133253301
5.0	93.42737094837935
6.0	88.81152460984394
7.0	82.05882352941177
8.0	73.7875150060024
9.0	64.07563025210084
10.0	53.421368547418965
11.0	42.97118847539015
12.0	34.015606242497
13.0	25.540216086434583
14.0	17.91716686674671
15.0	12.26290516206484
16.0	8.271308523409374
17.0	5.348139255702293
18.0	3.301320528211292
19.0	1.9387755102040956
20.0	1.0624249699880153
21.0	0.7142857142857366
22.0	0.4501800720288287
23.0	0.3001200480192239
24.0	0.15606242497000267
25.0	0.030012004801932335
26.0	0.006002400960397836
27.0	1.4210854715202004E-14
28.0	1.4210854715202004E-14
29.0	1.4210854715202004E-14
30.0	1.4210854715202004E-14
31.0	1.4210854715202004E-14
32.0	1.4210854715202004E-14
33.0	1.4210854715202004E-14
34.0	1.4210854715202004E-14
35.0	1.4210854715202004E-14
36.0	1.4210854715202004E-14
37.0	1.4210854715202004E-14
38.0	1.4210854715202004E-14
39.0	1.4210854715202004E-14
40.0	1.4210854715202004E-14
41.0	1.4210854715202004E-14
42.0	1.4210854715202004E-14
43.0	1.4210854715202004E-14
44.0	1.4210854715202004E-14
45.0	1.4210854715202004E-14
46.0	1.4210854715202004E-14
47.0	1.4210854715202004E-14
48.0	1.4210854715202004E-14
49.0	1.4210854715202004E-14
50.0	1.4210854715202004E-14
51.0	1.4210854715202004E-14
