#Coverage (X)	Coverage
1.0	97.97719087635053
2.0	97.06482593037215
3.0	94.8859543817527
4.0	89.98199279711885
5.0	82.59303721488595
6.0	72.74909963985594
7.0	61.032412965186076
8.0	48.637454981992796
9.0	36.42857142857143
10.0	26.30252100840336
11.0	18.18727490996399
12.0	12.364945978391361
13.0	7.875150060024012
14.0	4.693877551020407
15.0	2.695078031212489
16.0	1.4825930372148832
17.0	0.9063625450179984
18.0	0.49219687875148566
19.0	0.21008403361342687
20.0	0.07202881152458929
21.0	0.012004801920753039
22.0	0.0
23.0	0.0
24.0	0.0
25.0	0.0
26.0	0.0
27.0	0.0
28.0	0.0
29.0	0.0
30.0	0.0
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
