#Coverage (X)	Coverage
1.0	98.25330132052821
2.0	96.80072028811524
3.0	94.22569027611044
4.0	89.56182472989195
5.0	82.76710684273709
6.0	73.21128451380552
7.0	61.260504201680675
8.0	48.80552220888356
9.0	36.7827130852341
10.0	26.272509003601442
11.0	18.04921968787515
12.0	11.866746698679478
13.0	7.32893157262906
14.0	4.423769507803129
15.0	2.695078031212489
16.0	1.6926770708283385
17.0	0.8283313325330255
18.0	0.4081632653061291
19.0	0.21608643457383891
20.0	0.10804321728691946
21.0	0.042016806722699584
22.0	0.030012004801932335
23.0	1.4210854715202004E-14
24.0	1.4210854715202004E-14
25.0	1.4210854715202004E-14
26.0	1.4210854715202004E-14
27.0	1.4210854715202004E-14
28.0	1.4210854715202004E-14
29.0	1.4210854715202004E-14
30.0	1.4210854715202004E-14
31.0	1.4210854715202004E-14
32.0	1.4210854715202004E-14
33.0	1.4210854715202004E-14
34.0	1.4210854715202004E-14
35.0	1.4210854715202004E-14
36.0	1.4210854715202004E-14
37.0	1.4210854715202004E-14
38.0	1.4210854715202004E-14
39.0	1.4210854715202004E-14
40.0	1.4210854715202004E-14
41.0	1.4210854715202004E-14
42.0	1.4210854715202004E-14
43.0	1.4210854715202004E-14
44.0	1.4210854715202004E-14
45.0	1.4210854715202004E-14
46.0	1.4210854715202004E-14
47.0	1.4210854715202004E-14
48.0	1.4210854715202004E-14
49.0	1.4210854715202004E-14
50.0	1.4210854715202004E-14
51.0	1.4210854715202004E-14
