#Coverage (X)	Coverage
1.0	98.3733493397359
2.0	97.98319327731093
3.0	97.5750300120048
4.0	96.05042016806723
5.0	92.9951980792317
6.0	87.98319327731093
7.0	81.11044417767107
8.0	72.93517406962786
9.0	63.673469387755105
10.0	52.59303721488595
11.0	42.262905162064826
12.0	33.21128451380552
13.0	25.22208883553421
14.0	18.475390156062417
15.0	12.97118847539015
16.0	8.9735894357743
17.0	6.152460984393741
18.0	4.417767106842717
19.0	2.9111644657862996
20.0	1.9387755102040671
21.0	1.320528211284497
22.0	0.8463385354141479
23.0	0.5102040816326365
24.0	0.2701080432172773
25.0	0.0720288115246035
26.0	0.0240096038415345
27.0	0.006002400960383625
28.0	0.0
29.0	0.0
30.0	0.0
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
