#Coverage (X)	Coverage
1.0	98.43337334933973
2.0	97.97719087635053
3.0	97.06482593037215
4.0	95.74429771908764
5.0	92.62905162064826
6.0	88.15126050420167
7.0	81.33253301320528
8.0	73.15126050420167
9.0	63.12124849939976
10.0	52.983193277310924
11.0	43.73349339735894
12.0	34.74789915966386
13.0	25.73229291716686
14.0	18.38535414165665
15.0	12.454981992797101
16.0	8.835534213685463
17.0	6.248499399759893
18.0	4.297719087635045
19.0	2.8331332533013125
20.0	1.7346938775510097
21.0	1.0804321728691377
22.0	0.6062424969987887
23.0	0.39615846338534766
24.0	0.17406962785113933
25.0	0.09003601440575437
26.0	0.03601440576230175
27.0	0.0
28.0	0.0
29.0	0.0
30.0	0.0
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
